Name,Label,Year,AgeGroup,AgeGroupLower,AgeGroupUpper,Group,Group2,Total,Male,Female,TotTotal,TotMale,TotFemale,PctTotal,PctMale,PctFemale
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,Total,Total,Total,Total,Total,42961,21979,20982,42961,21979,20982,1,1,1
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,0_4,0,4,0 to 3,0 to 3,7368,3860,3508,42961,21979,20982,0.171504388,0.175622185,0.167190926
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,5_9,5,9,5 to 14,5 to 14,7601,3968,3633,42961,21979,20982,0.176927911,0.180535966,0.173148413
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,10_14,10,14,5 to 14,5 to 14,4931,2747,2184,42961,21979,20982,0.11477852,0.124982938,0.104089219
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,15_19,15,19,15 to 49,15 to 19,3968,1921,2047,42961,21979,20982,0.092362841,0.087401611,0.097559813
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,20_24,20,24,15 to 49,20 to 49,3631,1717,1914,42961,21979,20982,0.084518517,0.078120024,0.091221047
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,25_29,25,29,15 to 49,20 to 49,3958,1884,2074,42961,21979,20982,0.092130071,0.085718186,0.09884663
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,30_34,30,34,15 to 49,20 to 49,2933,1510,1423,42961,21979,20982,0.068271223,0.068701943,0.067820036
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,35_39,35,39,15 to 49,20 to 49,2527,1258,1269,42961,21979,20982,0.058820791,0.057236453,0.060480412
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,40_44,40,44,15 to 49,20 to 49,1942,1014,928,42961,21979,20982,0.045203789,0.046134947,0.044228386
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,45_49,45,49,15 to 49,20 to 49,1410,726,684,42961,21979,20982,0.032820465,0.03303153,0.032599371
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,50_54,50,54,50+,50 to 59,1095,537,558,42961,21979,20982,0.025488234,0.024432413,0.026594224
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,55_59,55,59,50+,50 to 59,591,308,283,42961,21979,20982,0.013756663,0.014013376,0.013487751
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,60_64,60,64,50+,60+,607,317,290,42961,21979,20982,0.014129094,0.014422858,0.013821371
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,65_69,65,69,50+,60+,141,65,76,42961,21979,20982,0.003282047,0.002957368,0.003622152
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,70_74,70,74,50+,60+,140,82,58,42961,21979,20982,0.00325877,0.003730834,0.002764274
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,75_79,75,79,50+,60+,39,22,17,42961,21979,20982,0.0009078,0.001000955,0.000810218
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,80_84,80,84,50+,60+,50,24,26,42961,21979,20982,0.001163846,0.001091951,0.001239157
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,85_89,85,89,50+,60+,11,8,3,42961,21979,20982,0.000256046,0.000363984,0.00014298
Oaxaca Coasts (Region I),Coastal Oaxaca,1777,90_up,90,,50+,60+,18,11,7,42961,21979,20982,0.000418985,0.000500478,0.000333619
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,Total,Total,Total,Total,Total,50451,25098,25353,50451,25098,25353,1,1,1
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,0_4,0,4,0 to 3,0 to 3,8018,4081,3937,50451,25098,25353,0.158926483,0.162602598,0.155287343
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,5_9,5,9,5 to 14,5 to 14,7201,3696,3505,50451,25098,25353,0.142732552,0.14726273,0.138247939
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,10_14,10,14,5 to 14,5 to 14,5833,3034,2799,50451,25098,25353,0.115617133,0.120886126,0.110401136
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,15_19,15,19,15 to 49,15 to 19,4755,2303,2452,50451,25098,25353,0.094249866,0.0917603,0.096714393
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,20_24,20,24,15 to 49,20 to 49,4522,2180,2342,50451,25098,25353,0.089631524,0.086859511,0.092375656
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,25_29,25,29,15 to 49,20 to 49,4292,2073,2219,50451,25098,25353,0.085072645,0.082596223,0.087524159
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,30_34,30,34,15 to 49,20 to 49,3444,1751,1693,50451,25098,25353,0.068264256,0.069766515,0.066777107
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,35_39,35,39,15 to 49,20 to 49,3006,1443,1563,50451,25098,25353,0.059582565,0.057494621,0.061649509
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,40_44,40,44,15 to 49,20 to 49,2591,1273,1318,50451,25098,25353,0.051356762,0.050721173,0.051985958
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,45_49,45,49,15 to 49,20 to 49,1797,892,905,50451,25098,25353,0.035618719,0.035540681,0.035695973
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,50_54,50,54,50+,50 to 59,1650,790,860,50451,25098,25353,0.032705001,0.031476612,0.033921035
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,55_59,55,59,50+,50 to 59,1156,551,605,50451,25098,25353,0.022913322,0.021953941,0.023863054
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,60_64,60,64,50+,60+,1125,533,592,50451,25098,25353,0.022298864,0.021236752,0.023350294
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,65_69,65,69,50+,60+,522,264,258,50451,25098,25353,0.010346673,0.010518766,0.01017631
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,70_74,70,74,50+,60+,265,111,154,50451,25098,25353,0.005252621,0.004422663,0.006074232
Oaxaca Highland East Interior (Region II),Highland Eastern Interior,1777,75_79,75,79,50+,60+,98,51,47,50451,25098,25353,0.001942479,0.002032034,0.001853824
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,80_84,80,84,50+,60+,111,44,67,50451,25098,25353,0.002200155,0.001753128,0.002642685
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,85_89,85,89,50+,60+,23,14,9,50451,25098,25353,0.000455888,0.000557813,0.000354988
Oaxaca Highland East Interior (Region II),Highland East Interior,1777,90_up,90,,50+,60+,42,14,28,50451,25098,25353,0.000832491,0.000557813,0.001104406
Oaxaca Central & Southern Valleys (Regions III & V),Central & Southern Valleys,1777,Total,Total,Total,Total,Total,65295,33357,31938,65295,33357,31938,1,1,1
Oaxaca Central & Southern Valleys (Regions III & V),Central & Southern Valleys,1777,0_4,0,4,0 to 3,0 to 3,11338,5718,5620,65295,33357,31938,0.173642699,0.171418293,0.175965934
Oaxaca Central & Southern Valleys (Regions III & V),Central & Southern Valleys,1777,5_9,5,9,5 to 14,5 to 14,10014,5192,4822,65295,33357,31938,0.153365495,0.155649489,0.150980024
